 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 9.00000E+02 eV = 3.30744E+01 a.u.
 #
 # Element: Fe,  Z =  26,  atomic weight = 5.58450E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.08989E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 26
 #
 # Electron density: Read from file ./database/z_026.den                                                                                                    
 #                   Number of data points =  763
 #                   Volume integral = 2.60000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 1.84480E-16 cm**2 = 6.58790E+00 a0**2
 # 1st transport cross section = 3.40705E-17 cm**2 = 1.21668E+00 a0**2
 # 2nd transport cross section = 4.15394E-17 cm**2 = 1.48340E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.64628E-15  9.45003E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.64628E-15  9.45003E+01  4.30402E-10  1.0E-07
  1.250E-04  1.18994E-12  2.64628E-15  9.45003E+01  5.38002E-10  1.0E-07
  1.500E-04  1.71346E-12  2.64628E-15  9.45003E+01  6.45602E-10  1.0E-07
  1.750E-04  2.33225E-12  2.64628E-15  9.45003E+01  7.53203E-10  1.0E-07
  2.000E-04  3.04617E-12  2.64628E-15  9.45003E+01  8.60803E-10  1.0E-07
  2.250E-04  3.85530E-12  2.64628E-15  9.45003E+01  9.68404E-10  1.0E-07
  2.500E-04  4.75964E-12  2.64628E-15  9.45003E+01  1.07600E-09  1.0E-07
  2.750E-04  5.75917E-12  2.64628E-15  9.45003E+01  1.18360E-09  1.0E-07
  3.000E-04  6.85391E-12  2.64628E-15  9.45003E+01  1.29120E-09  1.0E-07
  3.250E-04  8.04379E-12  2.64628E-15  9.45003E+01  1.39881E-09  1.0E-07
  3.500E-04  9.32893E-12  2.64628E-15  9.45003E+01  1.50641E-09  1.0E-07
  3.750E-04  1.07092E-11  2.64628E-15  9.45003E+01  1.61401E-09  1.0E-07
  4.000E-04  1.21847E-11  2.64628E-15  9.45003E+01  1.72161E-09  1.0E-07
  4.250E-04  1.37554E-11  2.64628E-15  9.45003E+01  1.82921E-09  1.0E-07
  4.500E-04  1.54213E-11  2.64628E-15  9.45003E+01  1.93681E-09  1.0E-07
  4.750E-04  1.71823E-11  2.64628E-15  9.45003E+01  2.04441E-09  1.0E-07
  5.000E-04  1.90386E-11  2.64628E-15  9.45003E+01  2.15201E-09  1.0E-07
  5.250E-04  2.09900E-11  2.64628E-15  9.45003E+01  2.25961E-09  1.0E-07
  5.500E-04  2.30367E-11  2.64628E-15  9.45003E+01  2.36721E-09  1.0E-07
  5.750E-04  2.51785E-11  2.64628E-15  9.45003E+01  2.47481E-09  1.0E-07
  6.000E-04  2.74156E-11  2.64628E-15  9.45003E+01  2.58241E-09  1.0E-07
  6.250E-04  2.97478E-11  2.64628E-15  9.45003E+01  2.69001E-09  1.0E-07
  6.500E-04  3.21752E-11  2.64628E-15  9.45003E+01  2.79761E-09  1.0E-07
  6.750E-04  3.46979E-11  2.64628E-15  9.45003E+01  2.90521E-09  1.0E-07
  7.000E-04  3.73157E-11  2.64628E-15  9.45003E+01  3.01281E-09  1.0E-07
  7.250E-04  4.00286E-11  2.64628E-15  9.45003E+01  3.12041E-09  1.0E-07
  7.500E-04  4.28368E-11  2.64628E-15  9.45003E+01  3.22801E-09  1.0E-07
  7.750E-04  4.57402E-11  2.64628E-15  9.45003E+01  3.33561E-09  1.0E-07
  8.000E-04  4.87388E-11  2.64628E-15  9.45003E+01  3.44321E-09  1.0E-07
  8.250E-04  5.18325E-11  2.64628E-15  9.45003E+01  3.55081E-09  1.0E-07
  8.500E-04  5.50215E-11  2.64628E-15  9.45003E+01  3.65841E-09  1.0E-07
  8.750E-04  5.83057E-11  2.64628E-15  9.45003E+01  3.76601E-09  1.0E-07
  9.000E-04  6.16850E-11  2.64628E-15  9.45003E+01  3.87361E-09  1.0E-07
  9.250E-04  6.51595E-11  2.64628E-15  9.45003E+01  3.98121E-09  1.0E-07
  9.500E-04  6.87293E-11  2.64628E-15  9.45003E+01  4.08881E-09  1.0E-07
  9.750E-04  7.23943E-11  2.64628E-15  9.45003E+01  4.19642E-09  1.0E-07
  1.000E-03  7.61544E-11  2.64628E-15  9.45003E+01  4.30402E-09  1.0E-07
  1.250E-03  1.18991E-10  2.64628E-15  9.45003E+01  5.38002E-09  1.0E-07
  1.500E-03  1.71347E-10  2.64628E-15  9.45003E+01  6.45602E-09  1.0E-07
  1.750E-03  2.33223E-10  2.64628E-15  9.45003E+01  7.53203E-09  1.0E-07
