 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 7.00000E+01 eV = 2.57245E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Al,  Z =  13,  atomic weight = 2.69815E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.20927E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 13
 #
 # Electron density: Read from file ./database/z_013.den                                                                                                    
 #                   Number of data points =  801
 #                   Volume integral = 1.30000E+01
 #
 # Muffin-tin model:    Rmt = 1.43000E-08 cm
 #   Atomic density:   Vmol = 6.02370E+22 1/cm**3
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 3.22046E-16 cm**2 = 1.15005E+01 a0**2
 # 1st transport cross section = 2.30074E-16 cm**2 = 8.21608E+00 a0**2
 # 2nd transport cross section = 1.75496E-16 cm**2 = 6.26709E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.56736E-16  9.16822E+00  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.56736E-16  9.16822E+00 -1.93133E-09  1.0E-07
  1.250E-04  1.18994E-12  2.56736E-16  9.16822E+00 -2.41417E-09  1.0E-07
  1.500E-04  1.71346E-12  2.56736E-16  9.16822E+00 -2.89700E-09  1.0E-07
  1.750E-04  2.33225E-12  2.56736E-16  9.16822E+00 -3.37983E-09  1.0E-07
  2.000E-04  3.04617E-12  2.56736E-16  9.16822E+00 -3.86266E-09  1.0E-07
  2.250E-04  3.85530E-12  2.56736E-16  9.16822E+00 -4.34550E-09  1.0E-07
  2.500E-04  4.75964E-12  2.56736E-16  9.16822E+00 -4.82833E-09  1.0E-07
  2.750E-04  5.75917E-12  2.56736E-16  9.16822E+00 -5.31116E-09  1.0E-07
  3.000E-04  6.85391E-12  2.56736E-16  9.16822E+00 -5.79400E-09  1.0E-07
  3.250E-04  8.04379E-12  2.56736E-16  9.16822E+00 -6.27683E-09  1.0E-07
  3.500E-04  9.32893E-12  2.56736E-16  9.16822E+00 -6.75966E-09  1.0E-07
  3.750E-04  1.07092E-11  2.56736E-16  9.16822E+00 -7.24250E-09  1.0E-07
  4.000E-04  1.21847E-11  2.56736E-16  9.16822E+00 -7.72533E-09  1.0E-07
  4.250E-04  1.37554E-11  2.56736E-16  9.16822E+00 -8.20816E-09  1.0E-07
  4.500E-04  1.54213E-11  2.56736E-16  9.16822E+00 -8.69099E-09  1.0E-07
  4.750E-04  1.71823E-11  2.56736E-16  9.16822E+00 -9.17383E-09  1.0E-07
